[DEBUG][2016-10-10 15:36:12,496][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_password' in [systemProperties]
[DEBUG][2016-10-10 15:36:12,496][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_password' in [systemEnvironment]
[DEBUG][2016-10-10 15:36:12,497][org.springframework.core.env.PropertySourcesPropertyResolver]Could not find key 'jdbc_password' in any property source. Returning [null]
[DEBUG][2016-10-10 15:36:12,497][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_password' in [localProperties]
[DEBUG][2016-10-10 15:36:12,497][org.springframework.core.env.PropertySourcesPropertyResolver]Found key 'jdbc_password' in [localProperties] with type [String] and value 'root'
[DEBUG][2016-10-10 15:36:12,497][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'validationQuery' in [environmentProperties]
[DEBUG][2016-10-10 15:36:12,498][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'validationQuery' in [systemProperties]
[DEBUG][2016-10-10 15:36:12,498][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'validationQuery' in [systemEnvironment]
[DEBUG][2016-10-10 15:36:12,498][org.springframework.core.env.PropertySourcesPropertyResolver]Could not find key 'validationQuery' in any property source. Returning [null]
[DEBUG][2016-10-10 15:36:12,498][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'validationQuery' in [localProperties]
[DEBUG][2016-10-10 15:36:12,498][org.springframework.core.env.PropertySourcesPropertyResolver]Found key 'validationQuery' in [localProperties] with type [String] and value 'SELECT 1'
[DEBUG][2016-10-10 15:36:12,502][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[DEBUG][2016-10-10 15:36:12,502][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[DEBUG][2016-10-10 15:36:12,504][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references
[DEBUG][2016-10-10 15:36:12,504][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[DEBUG][2016-10-10 15:36:12,505][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
